Date,MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
2009-01-01,16.8,29.7,,56.0,18.0,1010.9,1010.1,18.9,27.5
2009-01-02,13.3,28.6,,46.0,13.0,1016.4,1014.4,16.5,26.3
2009-01-03,14.9,32.0,,14.0,6.0,1015.7,1012.3,22.4,29.9
2009-01-04,16.3,36.3,11.8,12.0,2.0,1012.2,1010.5,25.7,34.9
2009-01-05,20.0,38.4,16.0,29.0,5.0,1012.5,1009.5,25.6,37.1
2009-01-06,20.2,40.2,15.6,35.0,8.0,1010.6,1006.8,25.9,39.6
2009-01-07,19.7,33.3,19.8,61.0,20.0,1011.1,1010.4,22.3,31.2
2009-01-08,15.2,31.4,19.4,45.0,14.0,1015.8,1014.2,18.4,28.3
2009-01-09,15.8,33.3,15.6,28.0,11.0,1014.5,1011.3,21.5,30.9
2009-01-10,17.5,33.9,13.6,38.0,11.0,1009.8,1007.3,22.1,32.5
2009-01-11,18.1,33.3,14.2,42.0,15.0,1009.9,1008.2,21.9,31.7
2009-01-12,17.4,38.4,16.2,33.0,8.0,1013.1,1010.6,23.7,35.6
2009-01-13,22.0,42.2,16.4,9.0,4.0,1010.4,1008.1,31.8,40.5
2009-01-14,23.6,40.7,18.8,43.0,13.0,1010.3,1008.9,25.8,38.4
2009-01-15,19.0,31.5,18.0,58.0,21.0,1016.4,1015.2,20.3,29.7
2009-01-16,15.7,32.7,16.0,51.0,12.0,1019.7,1018.0,18.7,30.5
2009-01-17,16.6,33.5,17.6,31.0,8.0,1019.3,1016.3,21.2,31.4
2009-01-18,18.5,35.6,15.2,12.0,8.0,1016.3,1013.0,25.8,34.0
2009-01-19,20.5,39.6,13.2,11.0,6.0,1011.9,1008.3,29.1,38.0
2009-01-20,23.4,40.2,16.4,26.0,10.0,1009.7,1007.0,29.5,39.2
2009-01-21,21.1,37.1,18.4,59.0,23.0,1010.5,1006.6,24.0,34.1
2009-01-22,21.7,38.8,13.8,12.0,7.0,1005.6,1004.1,28.3,36.9
2009-01-23,19.0,37.4,17.4,58.0,12.0,1008.8,1005.0,21.8,35.7
2009-01-24,19.4,33.0,19.0,60.0,25.0,1012.7,1012.1,21.7,30.0
2009-01-25,18.4,37.9,13.6,38.0,12.0,1015.1,1013.4,23.8,35.8
2009-01-26,21.0,39.9,17.0,22.0,4.0,1015.9,1012.5,27.4,38.6
2009-01-27,24.1,43.8,19.0,9.0,7.0,1011.3,1008.4,32.8,42.2
2009-01-28,28.9,44.6,16.0,23.0,16.0,1007.8,1005.6,35.6,42.6
2009-01-29,28.5,42.3,19.0,20.0,12.0,1009.3,1007.1,35.1,41.0
2009-01-30,28.7,42.4,20.8,21.0,9.0,1009.4,1006.8,34.6,40.3
2009-01-31,26.5,41.9,20.2,19.0,8.0,1011.5,1008.6,31.5,40.1
2009-02-01,26.7,41.7,19.4,18.0,10.0,1011.6,1008.8,33.4,39.5
2009-02-02,26.8,43.5,18.2,25.0,10.0,1009.5,1006.4,33.0,41.5
2009-02-03,26.7,43.7,16.0,37.0,12.0,1008.2,1005.0,30.1,41.4
2009-02-04,26.3,42.5,19.2,34.0,10.0,1006.8,1004.4,30.8,40.1
2009-02-05,25.2,42.8,20.0,25.0,8.0,1007.0,1005.0,29.5,41.3
2009-02-06,27.3,45.6,24.0,21.0,7.0,1005.3,1002.7,34.0,43.7
2009-02-07,31.4,46.2,22.0,18.0,7.0,1004.4,1003.0,37.9,45.3
2009-02-08,21.7,35.3,24.0,54.0,25.0,1009.8,1009.5,22.1,34.3
2009-02-09,17.1,28.7,19.8,45.0,19.0,1014.4,1013.1,18.5,26.9
2009-02-10,14.3,25.6,18.8,46.0,24.0,1017.9,1016.9,16.8,23.8
2009-02-11,13.6,26.3,12.4,41.0,18.0,1020.8,1017.5,15.6,23.6
2009-02-12,13.9,27.8,14.6,48.0,17.0,1019.3,1016.5,16.8,25.5
2009-02-13,14.1,29.7,13.2,53.0,13.0,1018.4,1015.5,18.3,27.3
2009-02-14,18.2,32.0,12.0,38.0,25.0,1017.9,1014.7,22.5,29.2
2009-02-15,20.3,32.5,15.6,25.0,17.0,1016.1,1013.2,24.0,30.8
2009-02-16,17.9,33.9,9.6,53.0,11.0,1013.4,1010.1,22.1,32.4
2009-02-17,20.3,34.1,14.8,34.0,16.0,1011.2,1008.6,25.4,32.7
2009-02-18,21.2,35.3,12.2,37.0,20.0,1009.8,1006.9,25.7,32.2
2009-02-19,24.9,31.1,12.2,25.0,33.0,1009.5,1010.7,28.4,29.1
2009-02-20,18.9,30.6,11.8,61.0,29.0,1015.9,1014.3,20.9,28.6
2009-02-21,16.2,31.4,14.2,55.0,23.0,1017.3,1014.2,18.7,28.8
2009-02-22,16.9,34.7,11.4,39.0,12.0,1014.5,1011.3,22.2,32.6
2009-02-23,18.1,36.9,12.6,17.0,7.0,1012.3,1011.1,25.6,36.3
2009-02-24,17.2,35.2,15.2,60.0,21.0,1015.3,1013.2,19.8,32.7
2009-02-25,19.7,37.8,11.4,20.0,6.0,1014.2,1012.3,24.5,36.6
2009-02-26,22.9,40.9,16.0,12.0,11.0,1013.1,1009.5,27.0,39.5
2009-02-27,18.6,41.5,18.2,17.0,12.0,1011.3,1009.4,31.0,39.9
